Frame,X_kalman,Y_kalman,Z_kalman
0,-687.5473379297352,-321.9972586176269,3153.538337158796
1,-701.7709979964695,-455.2282037358563,3880.0731771898886
2,-705.6385292494176,-618.6057865944863,4775.760155724272
3,-665.97422486355,-763.1681930334249,5539.3373133671985
4,-637.7677279459957,-864.562325287216,6074.657967361793
5,-619.7260038782996,-1061.4113146481159,7223.17956624581
6,-574.9710949663696,-1257.154804028705,8405.258504573761
7,-498.4399656436638,-1385.9395011189138,9206.146567693433
8,-418.1872945759301,-1494.6539689253068,9973.15764499114
9,-366.2368593538049,-1557.997496755263,10433.386791941239
10,-306.2300098829576,-1599.9085715851534,10816.726400955002
11,-247.19741912397845,-1666.8449484861708,11475.41226406328
12,-239.63353536449642,-2240.7700380036513,15978.953867718274
13,-174.13435821694577,-2295.3434145527845,16788.826181582685
14,-128.91675828344802,-2253.6218923634638,16729.013902772695
15,-87.33768144335775,-2228.820373923765,16932.285243998387
16,-39.599187779781126,-2360.6352821445,18549.38866919188
17,14.939699194489938,-2323.489845439412,18932.496196448665
18,74.39349277306216,-2290.869531991111,19485.961905000695
19,109.8162757355207,-2261.03435111322,19769.38440077512
20,142.1898812775541,-2127.9624894137196,19278.467867654934
21,186.15856470535093,-2054.811657042568,19466.135178123383
22,244.7559625114189,-2118.5444020507534,21239.18497764609
23,367.25907038563514,-2538.8792159405507,27229.640747559646
24,445.51395432390086,-2824.009396023138,31226.959588248283
25,490.3648463563804,-2779.1247923233595,31885.069635494794
26,581.1339491309633,-2879.2543369730747,34876.726660571556
27,760.1850594607544,-3196.248040501556,41622.44216305514
28,674.3102624748997,-2541.3350936566812,35033.28027249658
29,608.0066279681977,-2084.642554894863,30271.397648740356
30,525.614330267417,-1589.2993251056014,24679.301690088934
31,497.5214567702702,-1265.1687449292135,21732.995991356613
32,528.3343040309678,-1102.0777110299905,21597.940780610174
33,566.2185498674376,-921.7389764878486,20978.571252939193
34,587.6632497583946,-813.1619626521743,20558.679268446922
