Frame,Z_raw,Z_kalman
0,2249.355867,2296.587619
1,2527.936007,2563.840499
2,3065.639020,3033.451424
3,3590.310168,3540.957587
4,3998.842118,3987.941809
5,4496.776262,4478.393453
6,4984.771201,4963.498782
7,5605.338038,5558.861872
8,6142.898792,6115.188977
9,6611.967830,6610.829425
10,7001.668223,7000.703143
11,7568.606687,7552.057501
12,8111.399886,8099.019889
13,8674.504383,8660.328411
14,9208.838447,9195.047724
15,9423.803216,9407.140336
16,9096.265324,9089.748248
17,9188.531813,9174.918480
18,9538.131455,9524.749732
19,9225.069037,9216.351484
20,9135.800543,9126.659809
21,10217.377549,10204.431967
22,10570.306570,10558.559065
23,11045.606768,11036.578134
24,11576.098814,11563.892990
25,12683.771788,12670.019628
26,14005.571212,13993.670609
27,15310.704464,15301.619312
28,16093.869877,16085.846048
29,16861.031874,16851.757313
30,17620.636149,17611.590518
31,18380.632556,18371.589003
32,19113.532567,19105.703874
33,19837.234641,19827.264270
34,20190.703044,20181.618714
