% frame   Z_raw      Z_kalman
0   -3.2817   -3.245694
1   -3.9320   -3.960218
2   -4.7065   -4.678051
3   -5.3770   -5.399192
4   -6.1652   -6.123640
5   -6.8257   -6.851394
6   -7.6121   -7.582453
7   -8.3494   -8.316817
8   -9.0303   -9.054485
9   -9.8428   -9.795456
10  -10.5036  -10.539730
11  -11.3314  -11.287305
12  -11.9998  -12.038181
13  -12.8376  -12.792357
14  -13.3569  -13.392060
15  -14.0160  -13.995097
16  -14.6523  -14.601467
17  -15.2539  -15.211170
18  -15.8721  -15.824204
19  -16.4032  -16.440571
20  -17.1078  -17.060266
21  -17.6485  -17.683292
22  -18.3540  -18.309647
23  -18.9725  -18.939329
24  -19.6217  -19.572342
25  -20.2548  -20.208679
26  -20.8822  -20.848341
27  -21.5469  -21.491331
28  -22.1713  -22.137644
29  -22.8346  -22.787281
