Frame,Z_raw,Z_kalman
0,3153.538827658796,3153.538337158796
1,4582.590464787504,3880.0731771898886
2,6099.597493435126,4775.760155724272
3,6695.292955763175,5539.3373133671985
4,6695.292955763175,6074.657967361793
5,8652.100572330213,7223.17956624581
6,9561.200714173374,8405.258504573761
7,9582.088246322564,9206.146567693433
8,10225.17068143903,9973.15764499114
9,10225.17068143903,10433.386791941239
10,10546.06796983502,10816.726400955002
11,11622.72790890236,11475.41226406328
12,21227.96049271482,15978.953867718274
13,16126.493017351435,16788.826181582685
14,15026.969456775269,16729.013902772695
15,15899.141747509171,16932.285243998387
16,19601.669872031114,18549.38866919188
17,18136.00586738005,18932.496196448665
18,19066.207819722225,19485.961905000695
19,19066.207819722225,19769.38440077512
20,17669.197620259216,19278.467867654934
21,19066.207819722225,19466.135178123383
22,23037.706998004014,21239.18497764609
23,34342.251592220455,27229.640747559646
24,34342.251592220455,31226.959588248283
25,29945.78647963065,31885.069635494794
26,36425.391464512206,34876.726660571556
27,47911.08642231833,41622.44216305514
28,22284.90601273927,35033.28027249658
29,22349.872051940845,30271.397648740356
30,17123.88113874627,24679.301690088934
31,19131.839401569872,21732.995991356613
32,23248.176091905745,21597.940780610174
33,21672.07702511573,20978.571252939193
34,21390.004873492973,20558.679268446922
