Frame,Z_raw,Z_kalman
0,1896.703421,1896.701382
1,2602.008314,2257.019547
3,3085.096287,2668.897413
4,3509.812459,3015.023864
5,4176.021758,3534.816529
6,4310.692137,3951.092347
8,5003.614892,4691.011928
9,5640.006573,5247.022315
10,6172.392648,5830.503761
11,6816.297154,6400.014283
13,7047.213689,6960.026419
14,7341.493826,7520.038705
15,8317.112547,8080.049172
16,8675.593284,8640.061937
18,9030.807319,9200.073584
19,9920.114738,9760.086291
20,9320.487591,10320.095734
21,8048.193642,10880.108942
23,10196.914205,11440.119538
24,7359.286517,12000.132704
25,10119.006389,12560.145973
26,9929.108723,13120.156428
28,10604.017536,13680.168352
29,11177.793451,14240.179605
30,11355.009318,14800.193847
31,12195.493672,15360.204913
33,14500.812374,15920.217468
34,15320.407591,16480.228931
35,16110.893427,17040.243517
36,16850.308614,17600.254968
38,17621.893582,18160.266519
39,18389.706251,18720.279846
40,19130.297834,19280.291437
41,19820.593615,19840.305192
42,20560.812473,20400.316659
